GEOID,total_population,median_hh_income,total_stops,has_rapid_transit,total_pois,pillar1_transit,pillar2_demographics,pillar3_poi_density,cvi_score,demand_score,supply_score,gap_score
25025030200,1591,109626.0,1,0,14,0.1211094519492599,0.43157026896334055,0.9198329091636659,57.9,0.2763398604563002,0.49524879595417864,-33.9
25025030301,1478,126979.0,2,1,19,0.5919539398224677,0.3194358430118818,0.8239566466258585,72.9,0.4556948914171748,0.5478601544664242,-14.3
25025030302,2377,137778.0,30,1,158,1.0,0.3995801401105436,0.13302733558186663,67.2,0.6997900700552718,0.9270022771124756,-35.2
25025030400,3842,107333.0,0,0,80,0.0,0.43772896378101245,0.3578040436246661,25.6,0.21886448189050622,0.8036577947659848,-90.6
25025030500,2235,119795.0,0,0,12,0.0,0.38234716522939066,0.9675243552706336,50.9,0.19117358261469533,0.46907848327525364,-43.1
25025040100,2591,162443.0,0,0,8,0.0,0.4382330909335375,0.9331221576728652,52.3,0.21911654546676876,0.4018288973829924,-28.3
25025040200,1679,112750.0,0,0,2,0.0,0.31288666517119995,0.5669858902373621,28.5,0.15644333258559998,0.2009144486914962,-6.9
25025040300,4803,172075.0,0,0,2,0.0,0.550807628176083,0.5669858902373621,41.4,0.2754038140880415,0.2009144486914962,11.5
25025040401,2872,134821.0,1,0,16,0.1211094519492599,0.40315549164780484,0.8781195891376959,54.4,0.2621324717985324,0.5181386581216462,-39.7
25025040600,3758,155054.0,8,1,17,0.7839078796449355,0.5252597898206578,0.8590703135090172,96.0,0.6545838347327966,0.5285918009848632,19.5
25025040801,4129,88319.0,0,0,9,0.0,0.3700337976701095,0.9682358245560237,50.2,0.18501689883505476,0.4210972508645534,-36.6
25025050101,5304,72344.0,0,0,2,0.0,0.3898653976756871,0.5669858902373621,32.7,0.19493269883784356,0.2009144486914962,-0.9
25025050200,5400,81964.0,0,0,51,0.0,0.43327100684187,0.5055118252973232,32.2,0.216635503420935,0.7226042904789954,-78.4
25025050300,3515,70295.0,0,0,32,0.0,0.3343179941396584,0.6570624687330344,33.9,0.1671589970698292,0.6394420454820802,-73.2
25025050400,2072,79667.0,6,1,42,0.7399972160374537,0.3019991076332431,0.5688479595542181,68.1,0.5209981618353484,0.6878490760185317,-25.9
25025050500,2134,105625.0,0,0,2,0.0,0.3784389313397624,0.5669858902373621,32.1,0.1892194656698812,0.2009144486914962,-1.8
25025050600,2584,83571.0,0,0,58,0.0,0.34528516923913094,0.46342171428389156,25.5,0.17264258461956547,0.7457009137904711,-88.8
25025050700,4906,82712.0,1,0,43,0.1211094519492599,0.39758067517870593,0.5611862061952271,39.4,0.2593450635639829,0.6920534039943258,-67.1
25025050901,4530,91250.0,2,0,44,0.1919539398224677,0.4193135146037548,0.5536966417281628,44.1,0.3056337272131113,0.6961632446456748,-60.5
25025051000,4971,88533.0,0,0,6,0.0,0.4323710562725265,0.8493661978382886,48.1,0.21618552813626324,0.3558684613610259,-21.6
25025051101,6754,76750.0,7,1,30,0.7633283558477797,0.45528742628910696,0.6778987276935384,82.7,0.6093078910684433,0.628008309318316,-2.9
25025051200,3164,130795.0,0,0,4,0.0,0.4861630886336506,0.7372295595693685,45.8,0.2430815443168253,0.2943343472626825,-7.9
25025060101,3587,146737.0,0,0,2,0.0,0.49238215531779117,0.5669858902373621,38.2,0.24619107765889559,0.2009144486914962,7.0
25025060200,2282,166750.0,0,0,1,0.0,0.507631111474078,0.43185588778851425,32.8,0.253815555737039,0.1267629036018709,19.7
25025060301,3786,172171.0,0,0,8,0.0,0.5551552477486306,0.9331221576728652,58.6,0.2775776238743153,0.4018288973829924,-19.3
25025060400,5071,188333.0,0,0,3,0.0,0.6302926184801303,0.6628621527751695,50.2,0.31514630924006515,0.2535258072037418,9.6
25025060501,4305,175612.0,0,0,12,0.0,0.5613650961412706,0.9675243552706336,60.6,0.2806825480706353,0.46907848327525364,-29.2
25025060601,1830,159464.0,0,0,10,0.0,0.5008776518576755,1.0,58.8,0.25043882592883776,0.43852759679058395,-29.2
25025060602,416,112346.0,0,0,6,0.0,0.3867924962535266,0.8493661978382886,45.6,0.1933962481267633,0.3558684613610259,-25.2
25025060603,1241,183125.0,0,0,24,0.0,0.535377531954882,0.7495892398316595,49.0,0.267688765977441,0.588668694525365,-49.7
25025060604,2772,212217.0,0,0,61,0.0,0.55795796668103,0.4468924627068833,36.2,0.278978983340515,0.7547712129201869,-73.7
25025060700,1908,22552.0,0,0,0,0.0,0.16158691629339048,0.20084962280185914,3.3,0.08079345814669524,0.0,12.5
25025060800,4328,173333.0,0,0,6,0.0,0.5991424751894835,0.8493661978382886,57.1,0.29957123759474175,0.3558684613610259,-8.7
25025061000,2860,85931.0,0,0,1,0.0,0.35158182321788417,0.43185588778851425,24.3,0.17579091160894209,0.1267629036018709,7.6
25025061101,2295,19221.0,0,0,1,0.0,0.19040170578310156,0.43185588778851425,15.6,0.09520085289155078,0.1267629036018709,-4.9
25025061201,1609,89375.0,5,1,10,0.7130633917717275,0.30284490221746785,1.0,86.7,0.5079541469945976,0.43852759679058395,10.8
25025061202,0,86250.0,0,0,0,0.0,,0.20084962280185914,,,0.0,
25025061203,2314,237188.0,4,1,19,0.6812074390373977,0.5894182302444169,0.8239566466258585,92.3,0.6353128346409073,0.5478601544664242,13.6
25025061204,918,158691.0,0,0,11,0.0,0.3486064500320208,0.994200315957865,50.3,0.1743032250160104,0.454440255895238,-43.4
25025070102,2721,100208.0,3,1,72,0.6422189038985198,0.28804360880037744,0.3924608610971352,53.9,0.46513125634944863,0.7846401338698007,-49.5
25025070103,782,67788.0,0,0,0,0.0,0.24260541671714964,0.20084962280185914,7.7,0.12130270835857482,0.0,18.8
25025070104,2550,208750.0,13,1,184,0.8611066679867135,0.47054855822010316,0.0825528119830653,61.2,0.6658276131034083,0.9546997820683469,-44.8
25025070201,3242,42243.0,2,1,45,0.5919539398224677,0.20560634597783423,0.5463716964755647,53.8,0.39878014290015096,0.7001827517746166,-46.7
25025070202,4233,44361.0,0,0,79,0.0,0.31229743895272416,0.36194411665254833,19.0,0.15614871947636208,0.8013859616701661,-100.0
25025070301,2659,185917.0,0,0,22,0.0,0.4923977566932305,0.7773779614622198,48.0,0.24619887834661525,0.5734198481727457,-50.7
25025070302,1771,131223.0,1,0,39,0.1211094519492599,0.32963364298795844,0.5929503816392034,37.2,0.22537154746860916,0.6746230580682951,-69.6
25025070402,3005,72825.0,0,0,27,0.0,0.34625100528806146,0.7118200083569385,37.1,0.17312550264403073,0.6093942685647676,-67.6
25025070501,1977,191146.0,0,0,9,0.0,0.47660833938703456,0.9682358245560237,56.0,0.23830416969351728,0.4210972508645534,-28.3
25025070502,3787,24728.0,0,0,11,0.0,0.22637456969577677,0.994200315957865,43.7,0.11318728484788838,0.454440255895238,-52.9
25025070600,2228,234205.0,0,0,9,0.0,0.5398907421874705,0.9682358245560237,59.4,0.26994537109373523,0.4210972508645534,-23.4
25025070700,2643,150167.0,6,1,28,0.7399972160374537,0.4271989360795912,0.7001250683061035,81.0,0.5835980760585224,0.6158117765850774,-5.0
25025070801,1049,86250.0,3,0,4,0.2422189038985198,0.28169737207918866,0.7372295595693685,47.9,0.26195813798885426,0.2943343472626825,-5.0
25025070802,2306,71528.0,0,0,14,0.0,0.32974411631501055,0.9198329091636659,45.8,0.16487205815750527,0.49524879595417864,-51.2
25025070901,1277,37847.0,0,0,1,0.0,0.19462303175810694,0.43185588778851425,15.8,0.09731151587905347,0.1267629036018709,-4.6
25025070902,2079,116250.0,0,0,8,0.0,0.37606875340802054,0.9331221576728652,48.9,0.18803437670401027,0.4018288973829924,-33.1
25025071101,3873,86937.0,0,0,4,0.0,0.3925866551697244,0.7372295595693685,40.7,0.1962933275848622,0.2943343472626825,-15.2
25025071201,4248,84955.0,0,0,18,0.0,0.3445239102196305,0.8410512445520263,43.0,0.17226195510981526,0.5384796258943844,-56.8
25025080100,2439,48500.0,1,0,10,0.1211094519492599,0.2733401745613831,1.0,53.0,0.19722481325532148,0.43852759679058395,-37.4
25025080300,2059,43953.0,0,0,0,0.0,0.2580050054953516,0.20084962280185914,8.6,0.1290025027476758,0.0,20.0
